"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Oct 11 12:58:34 IST 2023","Wed Oct 11 12:58:34 IST 2023","5","Suite","Test","smoke_Suite.ALC_4350","smoke_Suite.ALC_4350","setup","setup",""
"skipped","Wed Oct 11 13:02:23 IST 2023","Wed Oct 11 13:02:23 IST 2023","2","Suite","Test","smoke_Suite.ALC_4351","smoke_Suite.ALC_4351","verifySuspendedAccount","User should not be able to login because account was suspended","Verify suspend Account in App"
"skipped","Wed Oct 11 12:58:34 IST 2023","Wed Oct 11 12:58:34 IST 2023","1","Suite","Test","smoke_Suite.ALC_4350","smoke_Suite.ALC_4350","suspendMemberALC","-A pop up confirmation will appear and ask user if they are sure to suspend the account | - Once confirming, user should have suspend checkbox checked","Suspend Member in Alchmey"
"skipped","Wed Oct 11 13:07:12 IST 2023","Wed Oct 11 13:07:12 IST 2023","1","Suite","Test","smoke_Suite.ALC_4365","smoke_Suite.ALC_4365","verifyTransactionStoppedBonus","New member transaction with the branch in the stopped bonus order DOES NOT generate bonus once the Bonus order is stopped","Signing up a member and Login Verification and Logout"
"broken","Wed Oct 11 13:07:12 IST 2023","Wed Oct 11 13:07:12 IST 2023","5","Suite","Test","smoke_Suite.ALC_4365","smoke_Suite.ALC_4365","setup","setup",""
"skipped","Wed Oct 11 13:02:22 IST 2023","Wed Oct 11 13:02:22 IST 2023","2","Suite","Test","smoke_Suite.ALC_4351","smoke_Suite.ALC_4351","openRegisterdBranchInApp","New branch account is searchable in Alchemy under the 'Members' section","Login Already added Branch"
"skipped","Wed Oct 11 13:02:08 IST 2023","Wed Oct 11 13:02:08 IST 2023","8","Suite","Test","smoke_Suite.ALC_4354","smoke_Suite.ALC_4354","VerifyInApp","User should see the updated data","Login In app and Verify"
"broken","Wed Oct 11 13:02:32 IST 2023","Wed Oct 11 13:02:32 IST 2023","0","Suite","Test","smoke_Suite.ALC_4352","smoke_Suite.ALC_4352","setup","setup",""
"skipped","Wed Oct 11 13:02:23 IST 2023","Wed Oct 11 13:02:23 IST 2023","1","Suite","Test","smoke_Suite.ALC_4351","smoke_Suite.ALC_4351","branchVerifyAndEdit","- Data displayed in user will turn into a field that can be edited | -Changes are saved and can be seen in user details","Edit Branch Details NAME"
"skipped","Wed Oct 11 13:02:32 IST 2023","Wed Oct 11 13:02:32 IST 2023","2","Suite","Test","smoke_Suite.ALC_4352","smoke_Suite.ALC_4352","verifyNewStore","New store account is searchable in Alchemy under the 'Store' section | - Data displayed in user will turn into a field that can be edited | -Changes are saved and can be seen in user details","Verify edited details in Alchmey"
"skipped","Wed Oct 11 13:02:23 IST 2023","Wed Oct 11 13:02:23 IST 2023","1","Suite","Test","smoke_Suite.ALC_4351","smoke_Suite.ALC_4351","verifyEditInApp","User should see the updated data","Verify Edited Name in Mobile App"
"broken","Wed Oct 11 13:07:18 IST 2023","Wed Oct 11 13:07:18 IST 2023","3","Suite","Test","smoke_Suite.ALC_4366","smoke_Suite.ALC_4366","setup","setup",""
"skipped","Wed Oct 11 13:07:18 IST 2023","Wed Oct 11 13:07:18 IST 2023","0","Suite","Test","smoke_Suite.ALC_4366","smoke_Suite.ALC_4366","tokenTransferAndVerifyInOrdersData","Screen will display member's details page | Screen will display a prompt page to fill out to transfer the tokens | Transferring of token was complete Current member token will be added and displayed in the App Current member token will be added and displayed in the Alchemy under 'Tokens in wallet' column","Login on alchemy and create new bonus"
"broken","Wed Oct 11 13:02:08 IST 2023","Wed Oct 11 13:02:08 IST 2023","2","Suite","Test","smoke_Suite.ALC_4354","smoke_Suite.ALC_4354","setup","setup",""
"skipped","Wed Oct 11 13:02:08 IST 2023","Wed Oct 11 13:02:08 IST 2023","7","Suite","Test","smoke_Suite.ALC_4354","smoke_Suite.ALC_4354","createProcessor","New Processor account should be successfully created","Create Processor with already Created Branch"
"skipped","Wed Oct 11 13:02:08 IST 2023","Wed Oct 11 13:02:08 IST 2023","1","Suite","Test","smoke_Suite.ALC_4354","smoke_Suite.ALC_4354","seacrchAndEditProcessorInAlchmey","New processor account is searchable in Alchemy under the 'Processor' section | -Changes are saved and can be seen in user details","Search and Edit Processor In Alchmey"
"skipped","Wed Oct 11 12:58:34 IST 2023","Wed Oct 11 12:58:34 IST 2023","0","Suite","Test","smoke_Suite.ALC_4350","smoke_Suite.ALC_4350","loginBranchMemberPB","User should see the updated data","Login in App with Branch Member Details"
"broken","Wed Oct 11 13:02:22 IST 2023","Wed Oct 11 13:02:22 IST 2023","1","Suite","Test","smoke_Suite.ALC_4351","smoke_Suite.ALC_4351","setup","setup",""
"skipped","Wed Oct 11 13:02:32 IST 2023","Wed Oct 11 13:02:32 IST 2023","1","Suite","Test","smoke_Suite.ALC_4352","smoke_Suite.ALC_4352","createNewStore","New store account should be successfully created","Create a Store and add Item"
"skipped","Wed Oct 11 12:58:34 IST 2023","Wed Oct 11 12:58:34 IST 2023","1","Suite","Test","smoke_Suite.ALC_4350","smoke_Suite.ALC_4350","createBranchAndMember","-New member can be successfully created in app | -New member account is searchable in Alchemy under the 'Members' section","Add Branch and Create Member and LogOut"
